Complaint ID	Date Sumbited	Product	Sub-product	Issue	Sub-issue	Company public response	Company	State	ZIP code	Tags	Consumer consent provided?	Submitted via	Date Received	Company response to consumer	Timely response?	Consumer disputed?
283098400%	4313400%	Credit card or prepaid card	Store credit card	Closing your account	Company closed your account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AL	362XX	Service Member	Consent not provided	Web	4313400%	Closed with explanation	Yes	N/A
226688100%	28-12-2016	Credit card	""""""	Identity theft / Fraud / Embezzlement	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9027500%		Consent not provided	Web	28-12-2016	Closed with explanation	Yes	No
3650500%	18-03-2012	Credit card	""""""	Billing disputes	""""""		Cumulus Financial	TX	7993600%	Older American	N/A	Web	19-03-2012	Closed with relief	Yes	No
282912800%	28-02-2018	Checking or savings account	Checking account	Managing an account	Cashing a check		Cumulus Financial	CA	9330100%		N/A	Fax	28-02-2018	Closed with monetary relief	Yes	N/A
283037700%	28-02-2018	Checking or savings account	Checking account	Problem caused by your funds being low	Overdrafts and overdraft fees	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3190400%		N/A	Referral	4310300%	Closed with explanation	Yes	N/A
34402200%	4142800%	Bank account or service	Checking account	Deposits and withdrawals	""""""		Cumulus Financial	MN	551XX		N/A	Postal mail	4145800%	Closed with monetary relief	No	Yes
282768800%	27-02-2018	Checking or savings account	Other banking product or service	Managing an account	Deposits and withdrawals		Cumulus Financial	CT	660600%		N/A	Fax	27-02-2018	Closed with explanation	Yes	N/A
112887400%	24-11-2014	Credit card	""""""	Identity theft / Fraud / Embezzlement	""""""		Cumulus Financial	OH	4402400%		N/A	Referral	4168200%	Closed with explanation	Yes	No
78106800%	27-03-2014	Debt collection	Credit card	Taking/threatening an illegal action	Threatened to sue on too old debt		Cumulus Financial	WY	8200700%	Service Member	N/A	Web	30-03-2014	Closed with explanation	Yes	No
10067000%	13-06-2012	Credit card	""""""	Credit determination	""""""		Cumulus Financial	FL	3301000%		N/A	Referral	21-06-2012	Closed with explanation	Yes	No
239171300%	17-03-2017	Credit card	""""""	Late fee	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MI	480XX		Consent not provided	Web	17-03-2017	Closed with explanation	Yes	No
81358300%	17-04-2014	Credit card	""""""	Identity theft / Fraud / Embezzlement	""""""		Cumulus Financial	WA	9814400%		N/A	Web	17-04-2014	Closed with non-monetary relief	Yes	No
271825700%	4274600%	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MA	020XX		Consent not provided	Web	4274600%	Closed with explanation	Yes	N/A
200821300%	4271100%	Bank account or service	Savings account	Deposits and withdrawals	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ	078XX		N/A	Referral	13-07-2016	Closed with explanation	Yes	No
181232500%	4240300%	Credit card	""""""	APR or interest rate	""""""		Cumulus Financial	CA	9191000%		N/A	Referral	4246300%	Closed with explanation	Yes	No
241039500%	29-03-2017	Debt collection	Credit card	Improper contact or sharing of info	Contacted me after I asked not to	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	300XX		Consent provided	Web	29-03-2017	Closed with non-monetary relief	Yes	No
166167600%	18-11-2015	Bank account or service	Savings account	Deposits and withdrawals	""""""		Cumulus Financial	TX	7703900%		N/A	Phone	23-11-2015	Closed with explanation	Yes	No
186611800%	4252500%	Credit card	""""""	Other	""""""		Cumulus Financial	AZ	852XX		Consent not provided	Web	4252500%	Closed with explanation	Yes	No
282951400%	4310300%	Vehicle loan or lease	Loan	Problems at the end of the loan or lease	Problem related to refinancing	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	IL			Consent provided	Web	4310300%	Closed with explanation	Yes	N/A
90747300%	23-06-2014	Credit card	""""""	Transaction issue	""""""		Cumulus Financial	GA	3051800%		N/A	Referral	26-06-2014	Closed with explanation	Yes	No
263539600%	17-08-2017	Mortgage	Conventional home mortgage	Applying for a mortgage or refinancing an existing mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	1864200%		N/A	Referral	17-08-2017	Closed with explanation	Yes	N/A
283621800%	14-02-2018	Mortgage	Other type of mortgage	Applying for a mortgage or refinancing an existing mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	SC	2961100%		N/A	Referral	4328400%	Closed with explanation	Yes	N/A
271876500%	4274600%	Checking or savings account	Other banking product or service	Managing an account	Problem making or receiving payments		Cumulus Financial				N/A	Referral	4280500%	Closed with explanation	Yes	N/A
272289900%	4292700%	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account		Cumulus Financial	CA	9134200%	Service Member	Consent not provided	Web	4292700%	Closed with explanation	Yes	N/A
279225700%	24-01-2018	Debt collection	Credit card debt	False statements or representation	Attempted to collect wrong amount	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	IL	6053200%		Consent not provided	Web	24-01-2018	Closed with explanation	Yes	N/A
282975500%	4310300%	Debt collection	Credit card debt	Communication tactics	Frequent or repeated calls		Cumulus Financial	DC	2000700%		N/A	Postal mail	4310300%	Closed with explanation	Yes	N/A
283059800%	4310300%	Mortgage	Other type of mortgage	Trouble during payment process	""""""		Cumulus Financial	FL	3361600%		N/A	Postal mail	4310300%	Closed with explanation	Yes	N/A
8069900%	17-05-2012	Bank account or service	Checking account	Problems caused by my funds being low	""""""		Cumulus Financial	VA	2255100%		N/A	Referral	25-10-2012	Closed with explanation	No	No
262491800%	17-08-2017	Credit card or prepaid card	General-purpose credit card or charge card	Fees or interest	Charged too much interest		Cumulus Financial	CA	9176800%		N/A	Referral	17-08-2017	Closed with explanation	Yes	N/A
269816100%	4289600%	Checking or savings account	Checking account	Managing an account	Banking errors		Cumulus Financial	NY	1180100%		N/A	Referral	4301800%	Closed with explanation	Yes	N/A
266534000%	4304600%	Mortgage	Conventional home mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	IL	6285800%		N/A	Referral	4292500%	Closed with explanation	Yes	N/A
43162400%	13-06-2013	Credit card	""""""	Late fee	""""""		Cumulus Financial	MN	5510600%	Older American	N/A	Referral	13-06-2013	Closed with explanation	Yes	No
210210000%	4259100%	Credit card	""""""	Unsolicited issuance of credit card	""""""		Cumulus Financial	PA	1801700%		Consent not provided	Web	4259100%	Closed with non-monetary relief	Yes	No
283371500%	4310300%	Vehicle loan or lease	Loan	Getting a loan or lease	Problem with signing the paperwork	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AL	3652700%		N/A	Referral	4322300%	Closed with non-monetary relief	Yes	N/A
241165000%	31-03-2017	Debt collection	Credit card	Cont'd attempts collect debt not owed	Debt was paid	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	956XX		Consent provided	Web	31-03-2017	Closed with explanation	Yes	No
125340300%	23-02-2015	Credit card	""""""	Customer service / Customer relations	""""""		Cumulus Financial	PA	1905000%		N/A	Web	23-02-2015	Closed with monetary relief	Yes	No
114740800%	4186300%	Credit card	""""""	Billing disputes	""""""		Cumulus Financial	WA	9800400%		N/A	Web	4186300%	Closed with monetary relief	Yes	No
10378000%	19-06-2012	Credit card	""""""	APR or interest rate	""""""		Cumulus Financial	OH	4431200%		N/A	Web	21-06-2012	Closed with non-monetary relief	Yes	No
271828000%	4274600%	Mortgage	FHA mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	MD	2072100%		Consent not provided	Web	4277700%	Closed with explanation	Yes	N/A
12493200%	26-07-2012	Credit card	""""""	Collection practices	""""""		Cumulus Financial	CA	9136200%		N/A	Phone	27-07-2012	Closed with non-monetary relief	Yes	No
